Sample,X,Y,Z
739,0.000,0.027,0.918
740,0.000,0.027,0.922
741,0.004,0.027,0.934
742,0.008,0.035,0.914
743,0.004,0.039,0.922
744,0.000,0.031,0.918
745,0.008,0.027,0.926
746,0.012,0.027,0.918
747,0.004,0.043,0.914
748,0.008,0.027,0.922
749,0.008,0.035,0.938
750,0.012,0.027,0.922
751,0.008,0.027,0.926
752,0.012,0.023,0.922
753,0.012,0.023,0.918
754,0.008,0.027,0.918
755,0.008,0.035,0.922
756,0.012,0.035,0.930
757,0.012,0.035,0.914
758,0.008,0.035,0.926
759,0.008,0.035,0.918
760,0.008,0.035,0.926
761,0.008,0.035,0.922
762,0.004,0.031,0.926
763,0.008,0.039,0.922
764,0.004,0.027,0.926
765,0.012,0.023,0.922
766,0.008,0.031,0.922
767,0.012,0.031,0.926
768,0.008,0.035,0.934
769,0.004,0.039,0.914
770,0.008,0.035,0.926
771,0.004,0.035,0.918
772,0.000,0.043,0.926
773,0.000,0.031,0.922
774,0.004,0.035,0.918
775,0.008,0.043,0.922
776,0.004,0.039,0.918
777,0.012,0.035,0.930
778,0.008,0.035,0.922
779,0.008,0.035,0.922
780,0.004,0.035,0.922
781,0.004,0.027,0.922
782,0.004,0.027,0.930
783,0.000,0.027,0.914
784,0.012,0.027,0.930
785,0.004,0.027,0.922
786,0.016,0.023,0.926
787,0.008,0.035,0.918
788,0.008,0.031,0.918
789,0.012,0.027,0.914
790,0.008,0.035,0.930
791,0.008,0.035,0.926
792,0.012,0.031,0.918
793,0.008,0.031,0.914
794,0.008,0.039,0.922
795,0.016,0.039,0.910
796,0.008,0.031,0.918
797,0.008,0.023,0.910
798,0.016,0.027,0.926
799,0.012,0.027,0.926
800,0.016,0.027,0.918
801,0.016,0.035,0.926
802,0.008,0.031,0.918
803,0.012,0.031,0.922
804,0.020,0.035,0.922
805,0.012,0.047,0.926
806,0.012,0.039,0.922
807,0.012,0.039,0.910
808,0.012,0.023,0.926
809,0.004,0.035,0.930
810,0.008,0.035,0.918
811,0.008,0.039,0.922
812,0.016,0.043,0.922
813,0.008,0.035,0.918
814,0.000,0.039,0.926
815,0.004,0.039,0.914
816,0.012,0.027,0.922
